Driver,Body,Tires,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG
Mario,Standard Kart,Standard Normal,3.25,3.25,3.0,3.25,3.75,3.75,4.0,3.75,4.0,3.25,3.0,3.25,3.25
Mario,Standard Kart,Monster,3.75,2.75,3.25,3.75,3.5,3.75,3.75,3.75,3.5,2.5,2.5,2.5,2.75
Mario,Standard Kart,Roller,2.75,3.75,2.5,3.0,4.25,3.25,4.0,3.25,4.0,3.5,3.25,3.5,3.5
Mario,Standard Kart,Slim,3.25,2.75,3.5,2.25,3.5,4.0,3.75,4.25,3.75,3.5,3.25,3.25,3.5
Mario,Standard Kart,Slick,3.5,2.5,3.5,2.0,3.0,4.25,3.25,4.25,3.25,3.0,2.25,3.0,2.75
Mario,Standard Kart,Metal,3.75,2.25,2.75,2.5,3.0,4.25,4.0,3.5,3.75,3.0,2.75,2.75,2.5
Mario,Standard Kart,Button,2.75,3.5,2.75,2.75,4.0,3.5,3.75,3.75,3.75,3.25,3.0,3.5,3.0
Mario,Standard Kart,Off-Road,3.5,3.0,3.25,3.5,3.25,4.0,4.25,3.75,3.5,2.75,2.5,3.0,3.0
Mario,Standard Kart,Sponge,3.0,3.25,3.0,3.5,4.0,3.5,3.5,3.5,4.25,3.0,2.5,3.0,3.25
Mario,Standard Kart,Wood Wooden,3.25,2.75,3.5,2.25,3.5,4.0,3.75,4.25,3.75,3.5,3.25,3.25,3.5
Mario,Standard Kart,Cushion,3.0,3.25,3.0,3.5,4.0,3.5,3.5,3.5,4.25,3.0,2.5,3.0,3.25
Mario,Standard Kart,Blue Standard Normal Blue,3.25,3.25,3.0,3.25,3.75,3.75,4.0,3.75,4.0,3.25,3.0,3.25,3.25
Mario,Standard Kart,Hot Monster Funky Monster,3.75,2.75,3.25,3.75,3.5,3.75,3.75,3.75,3.5,2.5,2.5,2.5,2.75
Mario,Standard Kart,Azure Roller,2.75,3.75,2.5,3.0,4.25,3.25,4.0,3.25,4.0,3.5,3.25,3.5,3.5
Mario,Standard Kart,Crimson Slim,3.25,2.75,3.5,2.25,3.5,4.0,3.75,4.25,3.75,3.5,3.25,3.25,3.5
Mario,Standard Kart,Cyber Slick,3.5,2.5,3.5,2.0,3.0,4.25,3.25,4.25,3.25,3.0,2.25,3.0,2.75
Mario,Standard Kart,Retro Off-Road,3.5,3.0,3.25,3.5,3.25,4.0,4.25,3.75,3.5,2.75,2.5,3.0,3.0
Mario,Standard Kart,Gold Tires Gold Wheels,3.75,2.25,2.75,2.5,3.0,4.25,4.0,3.5,3.75,3.0,2.75,2.75,2.5
Mario,Standard Kart,GLA Tires GLA Wheels,3.25,3.25,3.0,3.25,3.75,3.75,4.0,3.75,4.0,3.25,3.0,3.25,3.25
Mario,Standard Kart,Triforce Tires Triforce Tyres,3.5,3.0,3.25,3.5,3.25,4.0,4.25,3.75,3.5,2.75,2.5,3.0,3.0
Mario,Standard Kart,Leaf Tires Leaf Tyres,2.75,3.5,2.75,2.75,4.0,3.5,3.75,3.75,3.75,3.25,3.0,3.5,3.0
Mario,Standard Kart,Ancient Tires Ancient Tyres,3.75,2.75,3.25,3.75,3.5,3.75,3.75,3.75,3.5,2.5,2.5,2.5,2.75
Mario,Pipe Frame,Standard Normal,3.0,3.75,3.0,3.5,4.0,3.25,4.0,3.25,3.5,3.75,3.5,3.5,3.0
Mario,Pipe Frame,Monster,3.5,3.25,3.25,4.0,3.75,3.25,3.75,3.25,3.0,3.0,3.0,2.75,2.5
Mario,Pipe Frame,Roller,2.5,4.25,2.5,3.25,4.5,2.75,4.0,2.75,3.5,4.0,3.75,3.75,3.25
Mario,Pipe Frame,Slim,3.0,3.25,3.5,2.5,3.75,3.5,3.75,3.75,3.25,4.0,3.75,3.5,3.25
Mario,Pipe Frame,Slick,3.25,3.0,3.5,2.25,3.25,3.75,3.25,3.75,2.75,3.5,2.75,3.25,2.5
Mario,Pipe Frame,Metal,3.5,2.75,2.75,2.75,3.25,3.75,4.0,3.0,3.25,3.5,3.25,3.0,2.25
Mario,Pipe Frame,Button,2.5,4.0,2.75,3.0,4.25,3.0,3.75,3.25,3.25,3.75,3.5,3.75,2.75
Mario,Pipe Frame,Off-Road,3.25,3.5,3.25,3.75,3.5,3.5,4.25,3.25,3.0,3.25,3.0,3.25,2.75
Mario,Pipe Frame,Sponge,2.75,3.75,3.0,3.75,4.25,3.0,3.5,3.0,3.75,3.5,3.0,3.25,3.0
Mario,Pipe Frame,Wood Wooden,3.0,3.25,3.5,2.5,3.75,3.5,3.75,3.75,3.25,4.0,3.75,3.5,3.25
Mario,Pipe Frame,Cushion,2.75,3.75,3.0,3.75,4.25,3.0,3.5,3.0,3.75,3.5,3.0,3.25,3.0
Mario,Pipe Frame,Blue Standard Normal Blue,3.0,3.75,3.0,3.5,4.0,3.25,4.0,3.25,3.5,3.75,3.5,3.5,3.0
Mario,Pipe Frame,Hot Monster Funky Monster,3.5,3.25,3.25,4.0,3.75,3.25,3.75,3.25,3.0,3.0,3.0,2.75,2.5
Mario,Pipe Frame,Azure Roller,2.5,4.25,2.5,3.25,4.5,2.75,4.0,2.75,3.5,4.0,3.75,3.75,3.25
Mario,Pipe Frame,Crimson Slim,3.0,3.25,3.5,2.5,3.75,3.5,3.75,3.75,3.25,4.0,3.75,3.5,3.25
Mario,Pipe Frame,Cyber Slick,3.25,3.0,3.5,2.25,3.25,3.75,3.25,3.75,2.75,3.5,2.75,3.25,2.5
Mario,Pipe Frame,Retro Off-Road,3.25,3.5,3.25,3.75,3.5,3.5,4.25,3.25,3.0,3.25,3.0,3.25,2.75
Mario,Pipe Frame,Gold Tires Gold Wheels,3.5,2.75,2.75,2.75,3.25,3.75,4.0,3.0,3.25,3.5,3.25,3.0,2.25
Mario,Pipe Frame,GLA Tires GLA Wheels,3.0,3.75,3.0,3.5,4.0,3.25,4.0,3.25,3.5,3.75,3.5,3.5,3.0
Mario,Pipe Frame,Triforce Tires Triforce Tyres,3.25,3.5,3.25,3.75,3.5,3.5,4.25,3.25,3.0,3.25,3.0,3.25,2.75
Mario,Pipe Frame,Leaf Tires Leaf Tyres,2.5,4.0,2.75,3.0,4.25,3.0,3.75,3.25,3.25,3.75,3.5,3.75,2.75
Mario,Pipe Frame,Ancient Tires Ancient Tyres,3.5,3.25,3.25,4.0,3.75,3.25,3.75,3.25,3.0,3.0,3.0,2.75,2.5
Mario,Mach 8,Standard Normal,3.5,3.0,2.75,3.5,3.75,3.75,4.0,4.25,4.25,3.0,3.0,3.5,3.0
Mario,Mach 8,Monster,4.0,2.5,3.0,4.0,3.5,3.75,3.75,4.25,3.75,2.25,2.5,2.75,2.5
Mario,Mach 8,Roller,3.0,3.5,2.25,3.25,4.25,3.25,4.0,3.75,4.25,3.25,3.25,3.75,3.25
Mario,Mach 8,Slim,3.5,2.5,3.25,2.5,3.5,4.0,3.75,4.75,4.0,3.25,3.25,3.5,3.25
Mario,Mach 8,Slick,3.75,2.25,3.25,2.25,3.0,4.25,3.25,4.75,3.5,2.75,2.25,3.25,2.5
Mario,Mach 8,Metal,4.0,2.0,2.5,2.75,3.0,4.25,4.0,4.0,4.0,2.75,2.75,3.0,2.25
Mario,Mach 8,Button,3.0,3.25,2.5,3.0,4.0,3.5,3.75,4.25,4.0,3.0,3.0,3.75,2.75
Mario,Mach 8,Off-Road,3.75,2.75,3.0,3.75,3.25,4.0,4.25,4.25,3.75,2.5,2.5,3.25,2.75
Mario,Mach 8,Sponge,3.25,3.0,2.75,3.75,4.0,3.5,3.5,4.0,4.5,2.75,2.5,3.25,3.0
Mario,Mach 8,Wood Wooden,3.5,2.5,3.25,2.5,3.5,4.0,3.75,4.75,4.0,3.25,3.25,3.5,3.25
Mario,Mach 8,Cushion,3.25,3.0,2.75,3.75,4.0,3.5,3.5,4.0,4.5,2.75,2.5,3.25,3.0
Mario,Mach 8,Blue Standard Normal Blue,3.5,3.0,2.75,3.5,3.75,3.75,4.0,4.25,4.25,3.0,3.0,3.5,3.0
Mario,Mach 8,Hot Monster Funky Monster,4.0,2.5,3.0,4.0,3.5,3.75,3.75,4.25,3.75,2.25,2.5,2.75,2.5
Mario,Mach 8,Azure Roller,3.0,3.5,2.25,3.25,4.25,3.25,4.0,3.75,4.25,3.25,3.25,3.75,3.25
Mario,Mach 8,Crimson Slim,3.5,2.5,3.25,2.5,3.5,4.0,3.75,4.75,4.0,3.25,3.25,3.5,3.25
Mario,Mach 8,Cyber Slick,3.75,2.25,3.25,2.25,3.0,4.25,3.25,4.75,3.5,2.75,2.25,3.25,2.5
Mario,Mach 8,Retro Off-Road,3.75,2.75,3.0,3.75,3.25,4.0,4.25,4.25,3.75,2.5,2.5,3.25,2.75
Mario,Mach 8,Gold Tires Gold Wheels,4.0,2.0,2.5,2.75,3.0,4.25,4.0,4.0,4.0,2.75,2.75,3.0,2.25
Mario,Mach 8,GLA Tires GLA Wheels,3.5,3.0,2.75,3.5,3.75,3.75,4.0,4.25,4.25,3.0,3.0,3.5,3.0
Mario,Mach 8,Triforce Tires Triforce Tyres,3.75,2.75,3.0,3.75,3.25,4.0,4.25,4.25,3.75,2.5,2.5,3.25,2.75
Mario,Mach 8,Leaf Tires Leaf Tyres,3.0,3.25,2.5,3.0,4.0,3.5,3.75,4.25,4.0,3.0,3.0,3.75,2.75
